id,value2
13167,39
31257,28
13386,70
31479,71
37494,52
18644,27
31724,35
35054,69
30999,70
17219,16
31353,37
19471,42
35292,19
33151,6
10822,4
39694,21
32444,31
33237,33
38475,80
30203,82
37688,51
32214,81
31592,27
31707,38
18368,3
39244,13
36242,59
34154,92
32620,42
33361,80
32912,53
38834,8
35513,80
37508,79
16462,61
37157,20
17403,69
35969,43
35422,50
30797,59
32434,22
36372,17
39645,87
14521,89
31695,64
14377,11
34775,32
39985,50
38889,90
35227,71
38169,60
31397,24
36366,49
17139,22
36085,70
34637,8
36275,24
32837,2
39956,37
30262,77
30988,15
38519,2
37624,78
39430,56
14835,13
35452,25
35495,20
36631,24
11339,72
33362,94
34263,4
36778,93
37082,22
39332,65
31598,62
12176,43
38628,84
31311,14
33925,21
31392,36
36850,76
13932,73
10321,84
39064,27
37839,85
15258,8
37051,31
31894,93
34540,55
34629,34
17853,37
32144,58
38329,27
19060,48
33724,67
34976,75
30079,43
34642,28
39123,62
31129,87
14268,87
31798,80
34365,62
36492,42
37469,29
17008,70
32030,71
33523,62
38170,12
39729,1
39968,93
33570,63
33417,33
32388,29
12270,2
12165,69
34890,88
18240,38
34076,50
15864,42
30969,67
16253,1
37538,64
37396,44
31853,82
38060,23
34132,66
12066,30
38044,9
39586,54
34182,6
35182,6
31951,54
30339,78
30962,4
35377,27
16275,55
35838,75
35391,46
39878,99
37334,99
30032,70
11129,35
33498,52
31066,31
37702,88
35408,33
31269,67
38928,77
38995,29
19083,17
31074,22
31235,22
12786,29
33120,1
34970,5
10875,6
39503,33
32793,31
37684,48
39428,25
39793,37
39789,36
38351,33
39782,70
19891,29
32549,84
38422,53
31513,55
37729,51
31494,89
10299,14
35948,55
36961,3
37423,18
35804,77
32933,6
16062,90
31591,4
30651,45
16561,1
37777,62
19261,47
36419,61
37443,44
38088,88
32741,70
34856,70
38466,7
34996,11
17162,30
37322,56
33303,39
17555,47
30152,26
32582,95
34347,23
16822,54
38095,28
39306,73
31635,60
38917,18
34161,32
37181,54
37471,50
36959,23
30741,54
10712,43
36162,60
36031,77
14877,46
38728,69
37598,35
33949,73
35483,4
30230,70
34732,89
38982,9
10097,49
35544,19
18762,10
38255,16
33960,93
11963,9
19053,50
30916,79
33556,13
32277,92
38276,30
32754,1
30389,36
18720,23
30139,38
14585,3
38729,48
16399,69
36121,53
30056,72
33709,83
36402,40
17590,35
10559,26
30745,20
30482,77
33780,84
15899,16
39237,82
33114,85
37811,7
10288,97
11108,31
35458,44
14234,16
11422,81
32179,26
16670,75
32072,85
31241,4
17606,66
30842,82
34261,45
37956,77
31187,3
11301,82
11525,5
30179,88
15076,80
35162,26
19618,76
32729,38
31472,11
37523,24
34216,89
33576,12
37996,68
19513,50
31851,68
38575,47
35654,69
11454,51
12555,94
32248,88
31827,13
10610,88
39183,34
32602,86
37641,56
16005,33
35792,68
14440,31
30798,70
33035,32
16085,65
17595,33
39284,59
39821,52
34281,29
11476,14
33707,27
35985,6
38715,4
31923,82
31082,38
32573,79
31740,53
14775,3
36305,74
39748,66
19313,40
14963,42
13944,5
38215,24
32609,28
15872,92
39181,45
36437,49
34781,57
32463,35
31941,9
15983,52
17522,27
32158,3
33568,40
31449,95
36842,57
35776,42
38610,34
33276,99
16843,70
33086,45
17097,33
30255,46
11444,35
36408,34
39950,96
36706,44
16936,71
36147,41
31929,18
30870,46
32190,60
16920,93
36203,73
30264,12
12281,52
10305,17
11089,10
30399,88
33420,33
30398,7
33931,32
39180,70
36495,29
35056,75
36595,75
38791,57
34566,61
36874,63
19183,86
12282,72
16232,46
16187,15
31698,25
12848,63
17491,28
37395,58
38677,96
33353,68
31012,69
13168,85
39649,35
16886,8
31273,47
17689,99
37312,7
35567,86
37442,45
33078,72
31018,52
38288,78
37304,77
18212,55
10625,8
14920,42
32452,56
34939,19
32679,66
37260,13
30758,18
31882,88
35678,45
38323,14
37285,50
37504,95
19893,54
38960,20
11315,83
35874,47
38394,13
32492,58
34504,11
32422,2
10816,36
36299,78
37310,43
37891,46
17279,45
34520,57
35671,17
34491,58
35361,65
36087,65
31030,84
33821,98
39020,94
32634,63
17979,37
18989,94
30449,52
32396,47
36977,9
34662,76
37564,77
18797,76
31052,18
16809,93
13799,66
39165,61
14350,10
30862,78
38641,78
39824,71
33938,45
12856,28
33025,98
33287,77
33454,98
32076,88
30754,64
15034,45
37991,64
38503,75
39074,93
32259,14
36607,46
12249,36
38004,95
36901,42
17905,2
